aal ale
analog analogue
analysator analyzer
analysieren analyze
analysierte analyzed
ananas pineapple
anbeten adore
anbetungswuerdig adorable
anbieten offer
anbietend offering
anblitzen glare
anblitzend glaring
anbrechen broach
anbringen attach
andaechtig devout
andauert persists
andenken memento
andere other
andernfalls otherwise
anderswo elsewhere
andeuten insinuate
andeutend insinuating
andeutung inkling
andeutungen inklings
andrang boom
anecken scandalize
aneckend scandalizing
aneignen usurp
aneignung annexation
aneignungen annexations
anerkennend acknowledging
anerkennungen recognitions
anfaellig prone
anfaenge commencements
anfaenger beginner
anfaenglich initially
anfahren snub
anfahrend snubbing
anfang init
anfeuchtend wetting
anflehen implore
anflehend imploring
anfordern demand
anforderung requirement
anforderungen requirements
anfrage enquiry
anfuegen annex
anfuegend annexing
anfuehren lead
anfuehrungen quotations
anfuehrungsstrich parenthesis
anfuehrungsstriche parentheses
anfuellen fulfill
angeberisch swankily
angebetet adored
angeblich alleged
angeblitzt glared
angeboren congenital
angeborene innate
angebot offer
angebote offerings
angeboten offered
angebunden tethered
angedeutet insinuated
angeeckt scandalized
angefahren snubbed
angefangen commenced
angefeuchtet wetted
angefordert requisited
angefuegt annexed
angegrenzt adjoined
angegriffen affronted
angehaengt adhered
angehaengte appended
angehaeuft accumulated
angehalten stopped
angeheftet clinched
angeheitert tipsily
angehoben lifted
angeklagt impeached
angeklammert clinged
angekleidet habited
angekocht parboiled
angekommen arrived
angekuendigt advertised
angelegenheit affair
angelehnt ajar
angemasst arroganted
angemessen adequate
angemessenheit adequacy
angenehm agreeable
angenommen accepted
angeordnet disposed
angepackt tackled
angepasst accomodated
angepasste adapted
angeprangert pilloried
angeregt animated
angereichert enriched
angerempelt jostled
angeschafft purchased
angeschaltet powered
angeschlagen struck
angeschnallt strapped
angesehen faced
angesiedelt located
angespielt alluded
angespornt incited
angesprochen accosted
angesteckt infected
angestellter employee
angestelter employee
angestiftet instigated
angestiftete abetted
angestrengt strained
angewachsen increased
angewandt applied
angezeigt indicated
angezogen attracted
angezuendet kindled
angezweifelt doubted
angreifen affront
angreifend affronting
angreifer aggressor
angrenzen adjoin
angrenzend adjoining
angriff aggression
angriffe aggressions
angst anxiety
anhaenge appendices
anhaengen append
anhaengend appending
anhaenger pendant
anhaenglich devoted
anhaeufen pile
anhaeufend accumulating
anhaeufung accumulation
anhaftend adherent
anhaftung adherence
anhaltend resting
anhang appendage
anheben jack
anheften attach
anheftend attaching
anheimelnd quaint
anheuern charter
anker anchor
anklage accusation
anklagen accuse
anklagend impeaching
anklammernd clinging
anklebend pasting
ankleidend habiting
anknuepfen contacting
ankochen parboil
ankommen arrive
ankommend arriving
ankuendigen advertise
ankuendigend advertising
ankuendigung advertisement
ankuendigungen advertisements
ankunft arrival
anlage plant
anlegeplaetze wharves
anleitung navigating
anleitungen instructions
anmassen arrogante
anmassend arroganting
anmeldung announcement
anmerkend annotating
anmerkung memo
anmut comeliness
anmutig graceful
annaehern appropiate
annaehernd roughly
annahme acceptance
annahmen assumptions
annehmbar acceptable
annehmbare acceptable
annehmbarer receivablier
annehmen assume
annehmend assuming
annehmlichkeit amenity
annehmlichkeiten goodies
annulieren invalidate
annulliert annuls
anonym anonymous
anordnen dispose
anordnend disposing
anordnung adjustment
anordnungen dispositions
anormal anomalous
anpackend tackling
anpassen accommodate
anpassend adjusting
anpassung accomodation
anpassungen accomodations
anpassungsfaehig flexible
anprangernd pillorying
anregen animate
anregend animating
anregung animation
anregungen incitements
anreichern concentrate
anreichernd enriching
anrempeln jostle
anrempelnd jostling
anrichten sideboards
anruf call
anrufer caller
ansaetze rudiments
ansammeln accumulate
ansammlung package
ansatz rudiment
anschein semblance
anscheine semblances
anscheinend apparent
anschlagtafel billboard
anschlagtafeln billboards
anschliessen connect
anschluss alignment
anschnallend strapping
anschrift address
ansehen credit
ansehnlich respectable
anspielen allude
anspielend alluding
anspielung allusion
anspielungen allusions
anspornen incite
anspornend spuring
ansprechbar responsive
ansprechen accost
ansprechend accosting
anspruch claim
anspruchslos unassuming
anspruchsteller claimant
ansprueche claims
anstaendig decent
anstand decency
anstecken infect
ansteckend contagious
ansteckung contagion
ansteckungen contagions
ansteigen upswing
anstelle instead
anstiften abet
anstiftend abetting
anstifter abettor
anstoesse impulses
anstoessig obnoxious
anstoss impuls
anstossen nudge
anstrengen strain
anstrengend straining
anstrengung effort
anstrengungen efforts
anstuerme onrushes
ansturm onrush
anteil quota
antenne antenna
antennen antennas
antipoden antipodes
antreiben drive
antrieb impellent
antriebe incentives
antwort answer
antworten reply
antwortend answering
antwortet answers
antwortete replied
anullieren annul
anvertrauen commit
anvertrauend entrusting
anvertraut entrusted
anwachsend increasing
anwaelte lawyers
anwaerter aspirant
anwalt advocate
anweisung directive
anwendbar applicable
anwenden apply
anwendend applying
anwender operator
anwerfen actuate
anwesend aboard
anzahlung commission
anzeige display
anzeigen indicate
anzeigend indicating
anziehen attract
anziehend attracting
anzuenden kindle
anzug suit
apfel apple
apfelmus applesauce
apfelsaft cider
apostroph apostrophe
apotheke pharmacy
apotheken pharmacies
appetit appetite
appetitanregend appetizing
appetitanreger appetizer
applaudierend applauding
applaudiert applauds
applaudierte applauded
aprikosen apricots
april april
arbeit chore
arbeiten work
arbeitend tasking
arbeiter jobber
arbeitet operates
arbeitete worked
arbeitskraefte manpower
arbeitslos unemployed
arbeitslosigkeit inoccupation
arbeitsraum workspace
arbeitsunterbrechung layoff
arbeitsunterbrechungen layoffs
arbeitszimmer study
architektur architecture
archivierende archiving
archiviert archived
archivierte archival
arglist guile
arglistig guileful
arglos unsuspecting
argument argument
argumente arguments
arithmetisch arithmetic
arm indigent
armbaender bracelets
armband bracelet
arme arms
armselig squalid
armut poorness
arrangierend arranging
arrangiert arranges
arretieren lock
art fashion
arten kinds
artig bravely
artikel article
artischocken artichokes
arzt doctor
as ace
asche ash
aschenbecher ash-tray
aschenputtel cinderella
aschig ashy
aspekt aspect
ass ate
ast bough
astronomisch astronomical
atem breath
atemlos breathless
atlanten atlases
atlas atlas
atmen breathe
atmet breathes
atom atom
atomar atomic
atomisieren atomize
atomisierend atomizing
atomisiert atomized
attraktion attraction
attribut attribute
attribute attributes
auch also
auf adjournsschiebt
aufatmen respire
aufatmend respiring
aufbauen build
aufbereiten grab
aufbewahrt preserved
aufbinden untie
aufblaehen inflate
aufblaehend inflating
aufblasen bloat
aufblasend bloating
aufbrausen effervesce
aufbrausend effervescing
aufbrechen decamp
aufbrechend decamping
aufbringend sparing
aufbruch decampment
aufbuerdend imposing
aufdecken unhide
aufdeckend disclosing
aufdraengen obtrude
aufdraengend obtruding
aufdringlich gratingly
aufdruecken imprint
aufdrueckend imprinting
aufeinanderfolgend sequent
aufeinanderfolgende successive
aufenthalt sojourn
aufenthalte sojourns
auferlegen enjoin
auferlegend enjoining
auferlegt enjoined
auffallend conspicuous
auffangend intercepting
auffindbar detectable
aufforsten reforest
aufforstend reforesting
auffrischen freshen
auffrischend refreshing
auffuellen refill
auffuellend refilling
aufgabe abandonment
aufgaben jobs
aufgeatmet respired
aufgeben abandon
aufgebend abandoning
aufgeblasene bloated
aufgebot banns
aufgebraust effervesced
aufgebrochen decamped
aufgebuerdet imposed
aufgebunden untied
aufgedeckt uncovered
aufgedraengt obtruded
aufgedrueckt imprinted
aufgefangen intercepted
aufgeforstet reforested
aufgefuellt refilled
aufgegeben capitulated
aufgegriffen grabbed
aufgehakt unhooked
aufgehoben abrogated
aufgehoert ceased
aufgeklaert undeceived
aufgeklinkt unlatched
aufgeknoepft unbuttoned
aufgelauert waylaid
aufgelehnt revolted
aufgelistet listed
aufgeloest disintagrated
aufgemacht unclasped
aufgemoebelt reconditioned
aufgenommen absorbed
aufgepulvert doped
aufgeraeumt tidy
aufgeregt excited
aufgerollt unrolled
aufgeruestet rearmed
aufgerufen invoked
aufgeschnuert unlaced
aufgeschoben adjourned
aufgeschreckt scared
aufgesogen sponged
aufgestiegen ascended
aufgestossen belched
aufgeteilt partitioned
aufgewaermt rehashed
aufgewandt expended
aufgeweckt aroused
aufgeweicht softened
aufgewickelt coiled
aufgewischt swabbed
aufgezeichnet logged
aufgezogen nurtured
aufgliedern dissect
aufhaengen suspend
aufhaenger hanger
aufhaengung suspension
aufhaken unhook
aufhakend unhooking
aufheben abrogate
aufhebend abrogating
aufhebung rescission
aufhebungen rescissions
aufhellen brighten
aufhoeren cease
aufklaeren undeceive
aufklaerend undeceiving
aufkleber stickers
aufklinken unlatch
aufklinkend unlatching
aufknoepfen unbutton
aufknoepfend unbuttoning
aufkommend upcomming
auflauern waylay
auflauernd waylaying
auflisten list
auflister lister
aufloesen disintegrate
aufloesend disintegrating
aufloesung resolution
aufloesungen dissolutions
aufmachen unclasp
aufmachend unclasping
aufmerksam attentive
aufmerksamkeit attention
aufmoebeln recondition
aufmoebelnd reconditioning
aufnahme absorbtion
aufnahmefaehigkeit capacitance
aufnahmen receptions
aufnehmen absorb
aufnehmend absorbing
aufpolieren refurbish
aufpolierend refurbishing
aufpoliert refurbished
aufprallen thud
aufpulvern dope
aufpulvernd doping
aufrecht uprightly
aufrechterhalten uphold
aufrechterhaltend upholding
aufregen fluster
aufregend exciting
aufregung commotion
aufregungen commotions
aufrichtig candid
aufrichtigkeit candor
aufrichtigkeiten sincerities
aufrollen unroll
aufrollend unrolling
aufruehrerisch seditionous
aufruesten rearm
aufruestend rearming
aufruestung rearmament
aufruf calling
aufrufbar callable
aufrufe invocations
aufrufen invoice
aufruhr sedition
aufsaessig insubordinate
aufsaugend sponging
aufschieben adjourn
aufschiebend adjourning
aufschlaege lapels
aufschlag lapel
aufschnueren unlace
aufschnuerend unlacing
aufschrecken scare
aufschreckend scaring
aufschrei outcry
aufschreie outcries
aufschub adjurnment
aufschuebe adjurnments
aufschwuenge booms
aufsehenerregend startling
aufseher checker
aufsicht checkers
aufstaende insurrections
aufstand insurrection
aufsteigen ascend
aufsteigende ascending
aufstellen establish
aufstellungsort site
aufstieg ascent
aufstiege ascents
aufstossen belch
aufstossend belching
auftauchen emerge
auftauchend emerging
aufteilend partitioning
auftraege commissions
auftrag order
auftreten occur
auftrieb boost
aufwachen wakeup
aufwaermen rehash
aufwaermend rehashing
aufwaerts upward
aufwand effort
aufwecken arouse
aufweckend arousing
aufweichen soften
aufweiten flare
aufwenden expend
aufwendend expending
aufwendig expendable
aufwerten valorize
aufwickeln coil
aufwickelnd coiling
aufwischen swab
aufwischend swabbing
aufzaehlen enumerate
aufzaehlend enumerating
aufzeichnen log
aufzeichnend recording
aufzeichnung chronicle
aufzeichnungen records
aufziehen razz
aufziehend razzing
aufzuege elevators
aufzug elevator
augapfel eyeball
auge eye
augen eyes
augenaerzte oculists
augenarzt oculist
augenblick jiffy
augenblicke jiffies
augenblicklich momentarily
augenbraue eyebrow
augenbrauen eyebrows
augenlid eyelid
augenlider eyelids
august august
aus debarsschliesst
ausarbeiten elaborate
ausarbeitend elaborating
ausarbeitung elaboration
ausarbeitungen elaborations
ausbessern darn
ausbessernd darning
ausbesserung repair
ausbeuten exploit
ausbeutend exploiting
ausbildung schooling
ausblick outlook
ausblicke outlooks
ausbrechen erupt
ausbrechend eruptimg
ausbruch eruption
ausbrueche eruptions
ausbrueten incubate
ausbruetend incubating
ausdauer endurance
ausdauern persevere
ausdauernd perseverely
ausdehnen distend
ausdehnend distending
ausdehnung expanse
ausdehnungen expanses
ausdruck expression
ausdruckslos inexpressive
ausdrucksweise idiom
ausdrucksweisen parlances
ausdruecke expressions
ausdrueckend phrasing
ausdruecklich explicit
auseinandergezogen emerged
auseinanderziehen uncompress
ausfall blackout
ausfluege excursions
ausfluegler tripper
ausfluesse effluences
ausflug jaunt
ausfluss effluence
ausfragend quizzing
ausfuehrbar feasibly
ausfuehren accomplish
ausfuehrend achieving
ausfuehrlich explicitely
ausfuehrung achievement
ausfuehrungen achievements
ausfuellen fill
ausfuhr export
ausgabe issuance
ausgabefaehig issuable
ausgaben dumps
ausgabename outputname
ausgaenge egresses
ausgang egress
ausgearbeitet elaborated
ausgebbar displayable
ausgeben issue
ausgebend dumping
ausgebessert darnd
ausgebeutet exploited
ausgebreitet outspread
ausgebrochen erupted
ausgebruetet incubated
ausgedehnt distended
ausgedient veteran
ausgedrueckt expressed
ausgefragt quizzed
ausgefuehrt accomplished
ausgefuellt explained
ausgegeben displayed
ausgegebene outputted
ausgeglichen balanced
ausgegraben excavated
ausgehalten sustained
ausgehoehlt holed
ausgeklammert eliminated
ausgekundschaftet scouted
ausgekuppelt declutched
ausgelassen hilarious
ausgeliefert extradited
ausgeloescht obliterated
ausgeloest ransomed
ausgenommen except
ausgepackt unwrapped
ausgeplaudert divulged
ausgerichtet justified
ausgerottet eradicated
ausgeruestet mounted
ausgerufen exclaimed
ausgesagt predicated
ausgeschlossen debared
ausgesoehnt conciliated
ausgespuckt disgorged
ausgestattet endowed
ausgestellt exhibited
ausgestossen ejaculated
ausgestossene outcasts
ausgestrahlt emanated
ausgesucht picky
ausgetauscht interchanged
ausgetrocknet seared
ausgewaehlt selectively
ausgewaehlte selected
ausgewandert emigranted
ausgewechselt exchanged
ausgewertet evaluated
ausgewichen quibbled
ausgezaehlt enumerated
ausgezahlt disbursed
ausgezeichnet distinguished
ausgezeichnete signalized
ausgiebig extensive
ausgleich compensation
ausgraben excavate
ausgrabend excavating
aushalten sustain
aushaltend sustaining
aushoehlend holing
ausklammernd eliminating
auskleiden line
auskundschaftend scouting
auskunft information
auskuppeln declutch
auskuppelnd declutching
ausladend unloading
auslaeufer offshoot
auslass outlet
auslassen omit
auslassend wreaking
auslassungen interleaves
auslegend interpreting
auslegung interpretation
ausliefern extradite
ausliefernd extraditing
auslieferung delivery
ausloeschen obliterate
ausloeschend extinguishing
ausloesen ransom
ausloesend triggering
ausloeser trigger
ausnahme exception
ausnahmen exceptions
ausnahmslos invariably
ausnahmsweise exceptionally
auspacken unpack
auspackend unwrapping
ausplaudern divulge
ausplaudernd divulging
auspuff exhaust
auspufftopf silencer
ausreisser bolter
ausrichten align
ausrotten eradicate
ausrottend eradicating
ausruesten equip
ausruestend equipping
ausruestung equipment
ausruestungen kits
ausruf exclamation
ausrufe interjections
ausrufen evoke
ausrufend exclaiming
ausruhen relax
aussagend predicating
ausschalten deactivate
ausschliessen debar
ausschliessend debaring
ausschliesslich excessive
ausschluesse exclusions
ausschluss exclusion
ausschuss committee
aussehen lookout
aussen external
aussenbezirke outskirts
aussenseiter outsider
aussergewoehnlich exceptional
ausserhalb exterior
ausserordentlich exceedingly
aussetzen suspend
aussetzer dropout
aussetzung exposure
aussparung recess
aussperrung lockout
aussperrungen lockouts
aussprache pronunciation
aussprachen pronunciations
ausspucken disgorge
ausspuckend disgorging
ausstatten configurate
ausstattend endowing
ausstattung configuration
ausstattungen endowments
ausstellend exhibiting
ausstellung exhibition
ausstellungen exhibitions
ausstoss ejection
ausstossen ejaculate
ausstossend ejaculating
ausstrahlen emanate
ausstrahlend emanating
ausstrahlung radiation
ausstrahlungen radiations
austausch interchange
austauschbar commutable
austauschen transpose
austauschend interchanging
austeilen dispense
austeilend dispensing
auster oyster
austern oysters
austesten debug
austrag discharge
austrocknend searing
ausuebung exertion
auswaehlbar generic
auswaehlbare eligible
auswaehlen select
auswaerts outward
auswahl choice
auswahlen choices
auswanderer emigrant
auswanderung emigration
auswechselnd exchanging
auswechselungen exchanges
ausweichen evade
ausweichend eluding
auswerten evaluate
auswertend evaluating
auswertung evaluation
auswichend evading
auszahlen disburse
auszahlend disbursing
auszeichnen signalize
auszeichnend signalizing
auszubildende trainees
auszubildender trainee
auszuege epitomes
auszug epitome
auto car
autogramm autograph
autogramme autographs
automatik automatic
automatikwahl autodial
automation automation
automatisch automatically
automatisiert automated
autor author
autoren authors
autoritaet authority
baby baby
bach brook
bachstelze wagtail
bachstelzen wagtails
backe cheek
backen bake
backenbart whiskers
backend baking
backenzaaehne molars
backenzahn molar
backfett shortening
backslash backslash
backspace backspace
backt bakes
backups backups
bad bath
bademantel bathrobe
baden bathe
badend bathing
badet bathes
badewanne bathtub
badezimmer bathroom
baeche rivulets
baecker baker
baeckerei bakery
baeckereien bakeries
baender ribbons
baendigen subdue
baendigt subdues
baer bear
baerte beards
baeuche bellies
baeuchlein tummies
baeume trees
bahn tram
bahnen trams
bahnhof station
bahnsteig platform
bahre bier
bahren biers
bakterie bacterium
bakterien bacteriums
bald soon
baldrian valerian
balken beam
balkon balcony
balkone balconies
ball ball
ballast ballast
ballen bales
ballig spherical
ballon balloon
ballsaal ballroom
balsam balm
bambus bamboo
banal banal
banane banana
bananen bananas
band ribbon
bande gang
banden gangs
bandwuermer tapeworms
bandwurm tapeworm
bank bank
bankier banker
bankiers bankers
bankrott bankrupt
banner banner
barbarisch barbarian
barfuss bare-footed
bargeld hardcash
barhaeuptig bare-headed
barren ingot
barriere barrage
bart beard
basis base
basteln tinker
bastelnd tinkering
bastelt tinkers
bat begged
batch batch
batterie battery
bauch ventral
bauchig bellied
bauchredner ventriloquist
baudrate baudrate
bauer boor
bauern peasants
bauernhof farm
baufaellig tumbledown
baugeruest scaffolding
baugruppe assembly
baum tree
baumeln dangle
baumelnd dangling
baumelt dangles
baumelte dangled
baumwolle cotton
bausatz kit
bausch wad
bauteil component
bauweise construction
beabsichtigen intend
beabsichtigt intended
beabsichtigte indented
beachten respect
beachtend heeding
beachtenswert noteworthily
beachtenswerteste noteworthiest
beachtet heeded
beachtung heed
beamte officials
beanspruchen engross
beanspruchend engrossing
beansprucht engrossed
beanspruchte claimed
beanspruchung stress
beantwortbar responsible
beaufschlagen impinge
beaufsichtigen oversee
beaufsichtigend overseeing
beaufsichtigt oversees
beaufsichtigte overseen
beben quake
bebend quaking
bebrillt bespectacled
bebt quakes
bebte quaked
becher beaker
becken basin
bedachte preconceived
bedachung roofing
bedachungen roofings
bedarf demand
bedauere sorry
bedauerlich regrettable
bedauern deplore
bedauernd deploring
bedauert deplores
bedauerte deplored
bedeckte covered
bedenken preconceive
bedenkend preconceiving
bedenkenlos unscrupulously
bedenkt preconceives
bedeuten mean
bedeutend mattering
bedeutet matters
bedeutete mattered
bedeutung meaning
bedeutungen meanings
bedeutungslos insignificant
bedeutungsvoll meaningful
bedienen operate
bedienend valeting
bediener operators
bedient valets
bediente valeted
bedienung handling
bedienungselement control
bedienungsfeld console
bedingt conditionally
bedingte conditional
bedingung condition
bedingungen conditions
bedraengen bulldoze
bedrohen threaten
bedrohlich threateningly
beduerftig needily
beeilen hasten
beeilend hastening
beeilt hastens
beeilte hastened
beeinflussen bias
beeintraechtigen affect
beeintraechtigend vitiating
beeintraechtigt vitiates
beeintraechtigte vitiated
beeintraechtigungen derogations
beenden determine
beendend ceasing
beendet cancels
beendigung determining
beep beep
beepen beeping
beerdigung burial
beerdigungen interments
beere berry
beeren berries
befaehigen qualify
befaehigend featuring
befaehigt featured
befaehigung qualification
befaehigungen qualifications
befehl comand
befehle comands
befehlend bidding
befehlsempfaenger heeler
befestigen fasten
befestigend fastening
befestigt fastens
befestigte fastened
befestigung attachment
befestigungen attachments
befeuchten dampen
befeuchtend moistening
befeuchtet dampened
befiehlt bids
beflecken speckle
befleckend specking
befleckt specked
befoerderung preferment
befoerderungen preferments
befohlene commanded
befragen consult
befragend querying
befragte queried
befreien deliver
befreiend delivering
befreier deliverer
befreit deliveries
befreite delivered
befreiung deliverance
befreiungen liberations
befriedigen satisfy
befriedigend contenting
befriedigt gratifies
befriedigte contented
befriedigung satisfaction
befristend reprieving
befristet reprieved
befuerchtend afraid
befuerchtung misgiving
befuerchtungen misgivings
befugt legitimated
begabt talented
begabungen talents
begann begun
begegnet encounters
begegnung encounter
begehren covet
begehrend covetting
begehrt covets
begehrte covetted
begeisterung rapture
begeisterungen raptures
begierde cupidity
begierden lusts
begierig aware
beginn beginning
beginnen begin
beginnend commencing
beginnt begins
beglaubigen accredit
beglaubigend accrediting
beglaubigte accredited
begleiten accompany
begleitend accompanying
begleiter tutor
begleitet accompanied
begleitung attendance
beglueckwuenschen felicitate
beglueckwuenschend felicitating
beglueckwuenscht felicitated
begraben bury
begraebnis funeral
begraebnisse burials
begreifen comprehend
begreifend apprehensive
begreift comprehends
begrenzend confining
begrenzer delimiter
begrenzt confines
begrenzte confined
begrenzter narrower
begrenzungen limitations
begriff item
begriffe items
begriffen comprehended
begruendet causes
begruessend welcoming
begruesst welcomes
begruesste welcomed
beguenstigen pander
beguenstigend pandering
beguenstigt panders
beguenstigte benefited
begutachten survey
begutachtend surveying
begutachtete surveyed
behaelt retains
behaelter container
behaglich cosily
behaltend retaining
behandeln medicate
behandelnd medicating
behandelt handled
behandelte medicated
behandler handlers
behandlung therapy
behandlungen therapies
beharren insist
beharrend persisting
beharrlich insistent
beharrlichkeit insistence
beharrte persisted
behaupten allege
behauptend alleging
behauptet alleges
behauptete avered
behauptung allegation
behauptungen allegations
beherrschend governmental
beherrscht governed
beherrschung governing
behexen bedevil
behexend bedevilling
behexte bedevilled
behinderung handicap
behinderungen handicaps
behoerde authorities
beibehalten maintain
beibehaltend maintaining
beide both
beiderseitig mutual
